Text,Sentiment
Kazi is always up to date with tasks and is fully aware of what the deadlines for the project are. He is very organized and communicates very effectively.,Positive
"Briana is very helpful and always does her part. Whenever we are all working together, she makes sure that we are on track and completing the assignment we are meant to be completing.",Positive
Yurika is always thinking of ways of how to proceed with the project. She mentions what she part of the project she wants to be able to accomplish in a certain time period. She is also always thinking of ways to improve our project and its design.,Positive
"I feel like I am the only one managing the team deadlines and what needs to be done, which I don't like. I'm also the head for the technical aspects for our design and I feel like I don't have a sufficient skillset and knowledge base to execute the project succcessfully alone in that aspect.",Negative
I think I have been efficient and active on doing the project. I finished my part of work quickly for the early due of Benchmark A. I communicate with the team member every week to discuss the next step to do. But I think I am not good at using Revit 2022 enough. I still need to learn to master this software since it is important for finishing the project.,Neutral
Carl is always efficient at finishing his work. He's never late for meetings and discussions about the SLDP project. He is familiar with using Revit to do our project. Carl communicates with me frequently about how the project is going. Carl is a very good partner.,Positive
"Great work in terms of teamwork, staying on task, and making sure everything is done and everyone is on task.",Positive
Consistently meets the expectations of the assignment. Listens to everyone. Writes checklists that keep the team focused. Records team progress and tasks remaining. Questions things to ensure that processes are the best they can be.,Positive
Completes the required coding-related assignments due to having a computer science principles. Sets goals and checkpoints to help the team. Ensures that things get done by asking if each member understands the tasks that they need to accomplish. Listens to everyone's opinions. Checks work to ensure it is generally correct.,Positive
Actively listens to others' opinions and ideas of how things should be done. Invests time to ensure the team is doing the job well. Questions things to ensure that processes are the best they can be. Helps the team think of issues that have been overlooked.,Positive
"John has kept track of our schedule on Microsoft Project, and he has been working with Milestone 2 objectives as well. John helps encourage the team and has contributed to all parts of the project so far.",Positive
"Kazi has kept track of our budget, and he has been keeping a list of parts that we need. Kazi contributed to all parts of the project so far. He is excellent at communicating and staying on track as well.",Positive
Briana has taken a lot of initiative with the design process. She has stayed on top of creating the CAD models as well as working with the Milestone 2 requirements. Briana has contributed to all parts of the project so far.,Positive
"I try my best to ensure that we know what tasks we have to complete each week. My recent contributions included finding parts, doing research, completing the code flowchart, helping with the Milestone 2 presentation, discussing how to build the prototype, and helping with design.",Positive
"Despite not being available during the weekend, he makes it up by going to the open lab and working on his part in completing the design. He is a true team leader by keeping the team optimistic and encouraging us to stay on task. He is well-rounded, often switching roles from designing to note-keeping and making our presentations.",Positive
"I haven't been engaged with the team, usually just agreeing with their idea. However, I always try to make myself useful in any area they want me to. I always make sure to respond to their text messages that are related to the project. For the most I'm well aware of what we are doing; I need to communicate and engage more with the team.",Neutral
"Greyden has been an instrumental member of the team. He keeps us on track by setting mini-goals daily to ensure we have all the components for a specific due date. He always engages with the team by providing that we are all in agreement and reminding us to fill out the engineering journal. Despite his workload, he manages to clear up his schedule to attend the meetings. He is also well rounded, mainly dedicated to design.",Positive
"I am the head of design for this team, and I designed both the logo and the structure on Fusion 360. I did a fair share of work on the presentations and the PDI.",Positive
"Hanming is the head of software. He is in control of all the code, so Luis and I don't have to worry about coding. He contributes a lot to the team.",Positive
Luis is the head of production. He might not have the necessary skills coming into this project but he is trying to learn from either us or the TAs.,Positive
"Done an exceptional job of keeping team motivated and performing delegated work responsibly, efficiently, and to a high quality.",Positive
Completes work on time and to a high quality. Provides constructive feedback and makes himself an asset to the team.,Positive
"I have accomplished all my work efficiently and on time, and see to it that the team meets our deadlines ahead of time and to a high standard of quality.",Positive
Leo works hard in achieving his own tasks as well as helping team tasks. He applies his skills in CAD to help the team in the areas where we are less experienced. He communicates well and completes his work in time.,Positive
"I believe I have been responsible in both completing my own tasks and encouraging my teammates to work hard by reminding them of early submissions and deadlines. I have a background in a few of the skills needed for this project, so I've been able to help my teammates where I could, and also handling my own portion of the project, the coding parts. I sometimes might not be the best communicator, and might come off too strongly, which is something that I could watch for in the future and develop.",Positive
Leo has been great. He was the one who came up with the idea of the project. He has put a lot of effort into the project. He has a clear picture of how to create it and its purpose. He makes sure both me and Hanming have a clear vision of the project and how it will work. His explanations of his vision of the project are thorough and concise. He has made sure that he includes both me and Hanming in the project. When either of us bring a suggestions he makes a compromise and ensures we contribute. He also actively will ask us for our inputs so we are included. His work of designing is of high quality. He asks his teammates to review his work in case any helpful suggestions can be made to improve his quality. He makes sure he does his a fair share of work. Possible criticisms are as follows. He also should make it clear to his teammates what he needs to be done so he can complete his job effectively. He should set deadlines so his teammates have a clear plan of what to do by what date. When Hanming expressed concern over the state of the project he agreed with him. The issue is he didn't provide any useful input. He should have expressed concern over the state of the project and followed up that concern with a problem solving attitude and discussion of how to get the project back on track. Saying you dont think the project will be done and leaving it at that is not helpful. It's negative and negatively impacts the attitude of the team. It is frustrating to hear your teammates say the don't think the project will be done and not offer ways to address the problem.,Neutral
"Hanming has been great. He is much more knowledgeable in matters of electronics or coding than I am. I am in charge of wiring and assembly of the project. Despite this, Hanming has been very helpful and has been the one to suggest possible ways of wiring and assembling the project. He also has verbalized that he is willing to help me if I have any difficulties. He has been respectful during all interactions. He has contributed his fare share of the project. He also goes out of his way to review my work and give suggestions to improve it. He produces high quality work. Possible criticisms are as follows. He previously expressed a negative concern that the project would not be finished in time. But he didn't do it in a productive way. He should have taken initiative and spoken with a positive problem solving attitude as opposed to communicating negatively. Saying the project isn't going to be finished puts everyone in a negative mood. As a result, Leo agreed with him and also said a non productive negative statement that further hurts the attitude of the group. He should have expressed concern over the state of the progress and then follow up his concern with a productive statement like ""What can we do to get back on track to finish guys?"". Another criticisms that is that he should express what he needs in order to do his part of the project. This is a group project where labor is being divided. Hanming might need me to do something before he can do his job. He should express explicitly what he needs from each member to do his job effectively. Especially if he feels as if the project isn't going to get done. This specific criticism applies to everyone on the team including myself.",Neutral
"I have been doing a great job on the project. I have been able to effectively coordinate with my team. I have been able to communicate with them efficiently as well. I have been respectful and mindful of my actions. I have made efforts to make sure they feel like they are being heard and not overshadowed. When it comes to my contribution, I have done great. I have made sure to due my fair share of work. I have done my share of work in a timely matter and made sure to leave time to review and check my work with my teammates. I also make myself available to my teammates in case they require assistance with work. Even if the aforementioned work is not mine. When it comes to keeping on track, I make sure when I am with my teammates I establish goals for all of us to do. This way everyone has a sense direction as to what they should do. When it comes to quality, I make sure to review my teammates work and provide suggestions regarding how to better their work. I ask them to give me suggestions on how to better my work. When it comes to knowledge and skills, I am not very knowledgeable. I specifically dedicated myself to aspects of the projects that I am capable in. If Hanming, for example, needed help with coding I would not be able to provide it. I would be disposable to learn and attempt to aid but I am not capable. If Leo were to need help in designing, I would be disposable to. However, I am not capable in that regard so I would provide limited aid. Some things I could be better at are as follows. I need to improve my skills in coding and designing so I can be more helpful to my teammates. I also need to improve my skills in wiring so I don't end up relying too much on my teammates. I also need to get better at problem solving. Since I am head of wiring and assembly, I need to communicate more effectively to my teammates the things I need. I also need to provide my teammates with deadlines so that I can do my job effectively. I feel as if I am contributing the least to the project and will make efforts to correct that.",Positive
Friendly and always willing to help when others have issues. On-time to meetings.,Positive
"I would like to bring more to the table for my group, but I am not sure how. I also think I need to spend more time researching on my own to improve my skills.",Neutral
"Chris is a great teammate and very fun and easy to work with. We get along great and there are no issues in the team chemistry. Chris does have a problem showing up for the RAD mentor meetings, but he is cognizant of that and has made a commitment to be better at showing up. It currently feels like I shoulder most of the planning aspect, but I think if Chris starts coming to the meetings this burden will be shared more equally. This stage is mostly coding which is Chris' area of expertise so he is completing more of the tasks. I am mainly focused on auxiliary tasks like the logo, CAD, and maker space training so we can get the physical product done as quickly as possible. All in all, I love working with Chris, when we can work together. It is starting to get frustrating that he does not show up for the meetings, but outside of that I can't complain at all. He always does high-quality work very quickly and is able to draw on a vast wealth of knowledge in microprocessors and prototyping to speed up the coding process. I just really hope he holds to his commitment to show up to the RAD meetings",Positive
I love working with my team and I hope we can help each other grow as both engineers and active members of a team throughout this semester.,Positive
"Aside from the comments left in the previous box meant for the instructor, I don't have much else to say. I am very satisfied with my teammates, and I look forward to the progress of our project.",Positive
"Aimee did Logo design and code flow chart for our group so far. At the same time, she contributed a lot of ideas to our design and always are willing to help. She is good at using Adobe illustrator and her iPad to draw our logos. She always replied messages of teammates quickly. Her design of our Logo is perfect and fits our project's purpose and appearance so well. She always has a delicate work with high quality. Furthermore, she communicates efficiently with group mates or TAs when facing problems. High quality work need a lot of effort to be put in, so Aimee needs time to finish them. However, she still finished them on time, which is impressive.",Positive
"Sunny is a helpful and knowledgable person with impressive skills on computer programming and electronic stuff. He did the circuit diagram of our design perfectly. He also refined our CAD model design to make it looks nicer, which fulfills users' needs. He is very friendly as well. He is wiling to communicate with group mates and always respects everyone's opinion. He always did the difficult part during our project with high quality. However, he should take more sleep and rest.",Positive
"I did most of the writing like PDI and presentation stuff on time with good quality. Also, I came up with some designing ideas, like brainstorming the functions of our autoscrub. I also drew an initial CAD design of our project. Information and announcements were actively shared with my group mates. I replied the messages from my group mates on time. To help our project more, I can engage more in the project's construction, like wiring circuits or 3D printing some parts of our autoscrub.",Positive
Karl is enthusiatic and is a postive teamate to have in the group. He shows signs of above average skills using CAD (better than me). I wish he would be more aware of our meetings and deadlines. It is best to communicate and read our texts so there isnt any further porblems with miscommunication.,Neutral
"Lili has done a very good job being on top of and managing tasks. She has almost took it upon herself to take a leadership role. She works on things and assigns tasks before it is too late. The only critism I would have is that she should try to stay more composed and stress out less as it can be detrimental to the quality of our work. Then again, this comes with good time management and orginisation as a group.",Positive
"I feel that I am a reliable and pleasant team member to work along side. I suggest ideas, I am open to changes and I am wiolling to work on something that was originally considered ""my task"". I will say my weakness is most likely time management as, while I am on top of things and aware of when they should be done, I procrastinate.",Positive
"Alex, you did a great job",Positive
"Personally, I believe rating oneself is always full of bias, so take my words with a grain of salt, but I coordinated many of group's activites, including planning the milestone 1 presentation. I solely worked on creating the team schedule, which I later communicated and approved with my team, designed the CAD model, and finished the logo design as well. Overall, I was a valuable member to the team.",Positive
"Amanda as always, you did a great job pulling the team together as team leader and making sure everyone had a role in the team, knowing what they wanted to. You likewise",Positive
"Although you were absent from meetings and hard to contact at times, Tony you do really tremendous work, and your ability to pull through and learn how to do the objectives, whether it is coding or circuitry, is incredible. I wish you communicated a little more but anyways, you are awesome!",Positive
A good leader and insturctor.,Positive
A good organizer and writer.,Positive
I need more reinforcement and practice on coding to better help the group.,Neutral
"Alex did a great job on showing up on meetings, providing insightful opinions and support the team with passion. He contributed in the Preliminary Design Investment with efforts. Alex uses inclusive and respectful languages throughout the discussion. In future teamwork, I wish Alex to maintain his behavior and learn a bit of coding in advance to be even more contributive.",Positive
"I came to every meeting with Alex, and kept track on the schedules and deadlines. During the weekend I spent some spare time on making and coding the robot, and helped to check out early for benchmark A. I monitored myself to use inclusive language and respect each other. I'll put more efforts on CAD drawings to take some responsibilities off from Alex.",Positive
You always get the work done and the schedule you made has been helpful. I feel that you could be a little bit more interactive with the team so that we are all on the same page.,Neutral
Good work. You knowledge of coding and circuits is amazing to me and I hope to learn from you.,Positive
Your ability to keep us on track is crucial for the teams success. You always make sure things are being done and are ready to follow up on task that I would have otherwise forgotten about.,Positive
I feel like I could be learning more things but school has been taking up a lot of time. I learned how to do CAD and although I am proud of that I wish I could have been more active when making the circuits virtually.,Neutral
Does good work but try to come to all meetings and help more with tasks.,Positive
I do all necessary tasks before the due date but need to get better at researching for my project.,Neutral
Helps with the tasks and give good ideas on how we can improve our project.,Positive
"Alex contributes to the group meeting and had good questions regarding design ideas. Also, all of the things he presented in the presentation was decent, and he generally finished his tasks on time.",Positive
"Amanda is usually ahead of the schedule and encourages us to do things as early as possible. She leads us to appoint the date of meeting with the TA. Also, she could finish tasks on time and contributes to the group brainstorming.",Positive
"Good overall performance. The works are all completed and had a decent presentation of the background information. However, more details regarding the intention of the tea machine could be discussed. Also, the talking can be more in a group meeting",Neutral
Desmond is the team leader and is enthusiastic in developing the ideas and design of the project. He appoints us with equally divided tasks and communicates closely with us regarding the ideas of the RAD project. He also did a lot work on the presentation and could be able to make final decisions on ideas,Positive
Take the time to read the HIR manual in its entirety because it answers a lot of the questions you're asking at times.,Negative
I think I need to get better at managing my time properly for my assigned tasks. I find myself spending too long on them sometimes. I think I also need to be more proactive about reaching out to my teammates.,Neutral
"Consistently completes tasks on time and to a high standard. Is almost always in communication and updates the team regularly about progress. Has not shown up in-person for RAD mentor meetings, but is able to catch up and execute the tasks established there. Has very detailed knowledge and experience in his assigned area. Easy to work with and creates a casual, non-confrontational environment in team meetings.",Positive
"I consistently complete work on time. I have a good amount of knowledge in my area, but I sometimes take extra time to complete my tasks compared to Chris. I reliably show up to RAD mentor meetings and team meetings. I help coordinate the group and make sure we are on track to meet deadlines. I rarely have to help Chris with his tasks, but both of us know what the other is doing in case one of us needs to take up slack for the other.",Neutral
"Your attentiveness to detail in addition to your proficiency in electrical design is very helpful to the team. I feel that you could work on being more communicative of your progression to the group outside of our scheduled meetings, but so could the rest of us. Overall, you go above and beyond, especially as it pertains tot he PDI, and offer valuable skills to the team.",Positive
"I execute quality work and offer my support to my teammates whenever they need it. While I am aware that my technical skills as well as my design skills are not as proficient as those of my teammates, I carry-out each task to the best of my ability, asking for help when necessary. I do, however, understand that I need to be more consistent when it comes to completing the tasks in a timely manner as well as communicating with my teammates outside of our weekly schedule meetings.",Positive
"Completes tasks as they are received. Dedication to project shows through willingness to research and implementation of knowledge gained from research into the actual code for the project. Sometimes, decisions are made without first communicating with the group, so I think you could work on communication, although that is an area of improvement for all team members.",Positive
I know that you have been feeling under the weather and so am I but we gotta make it up to rose and take on some more work i feel bad,Neutral
"I have mainly contributed to the group by voluntarily creating a CAD model alone, and I am planning to create the team logo with CAD as well before the due date. I have contributed less than my team mates in the power points slides, and have been feeling under the weather. However, I will make up for my slack by communicating on what needs to be done, and collaborating with my teammates to progress in our project.",Neutral
"Is punctual and ready to meet. Helped out greatly with the design and code. Does contribute to PDI, engineering notebook, slides, etc. Good at listening to ideas.",Positive
"Is punctual and helped out with the PDI, engineering notebook, and presentation slides. Would like to see more help with the code.",Neutral
It was a bit difficult to design and think about building a robot without any guidance except the student manual but it allowed me to gain experience about electronics and design. I stayed on top of tasks and successfully programmed the robot to achieve the milestone 2 benchmark.,Positive
Rose is very organized and she led point on making the project schedule. Her organizational skills are very strong and I believe the group will be able to manage our time wisely as Rose created a manageable schedule for us all. I don't have any constructive comments as of right now.,Positive
"I believe that while my performance so far has been efficient, I can definitely improve in any aspect. I'm not sure I will know which aspects until we encounter a complicated situation during our project in which case, I will do my best to navigate the complexity and provide amazing work/results.",Neutral
George has been extremely efficient in designing the team logo and in designing the CAD model for our project. He is well versed in his knowledge of utilizing the software to provide excellent results. I don't have any constructive comments as of right now.,Positive
"Farr has demonstrated high quality skills and abilities on CAD, which have been crucial for our project and to complete the benchmarks and goals we set as a group. He is responsible and is ready to take on tasks. He is committed to the team and the project. There have been no issues whatsoever with him or his work. His contributions and ideas are very valuable.",Positive
"They are manipulator, but they are good leader.",Negative
I think I'm doing well. A little worried about workload but I think I can handle it.,Neutral
He works very hard and is a good teammate and keeps the mood well.,Positive
He works very hard and is a good teammate and goes above and beyond for us.,Positive
"I feel I have been making more contributions to the project in terms of helping make decisions, helping test, helping build, and facilitating communication between the team.",Positive
Great work on the coding and the testing. Stay positive. There's always a solution.,Positive
"Great work on the logo, assembly, and design.",Positive
"I'm glad with my own performance and contribution considering that I was fasting for Ramadan. We decided for our sensor to be implemented, and I built the initial IR circuit that can detect clothing. I also contributed to hardware wiring the LCD to the circuit during our open lab and model shop. I kept the hardware code updated in the engineering notebook.",Positive
"Patrick worked on integrating the buttons to integrate the three manual buttons (+/-/reset) into our Smart Hanger. He also gave us the idea to use the wooden port in our prototype which would serve to attach our Circuit to the hanger. Patrick is always on time in meetings. Patrick is collaborative, proactive and very understanding.",Positive
"Ryan worked on the software of the Arduino circuit. He programmed the software to be able to count clothing and count the hanged both, automatically and manually, clothing only after a specific time frame the clothes are hanged . Ryan is proactive and is always on time in meetings. He is collaborative and very understanding.",Positive
"I feel very integrated into my team and there are a good working atmosphere. For my part, I think I do a good job, I complete my job before every deadline, give feedback, take feedback from other about my work and meet on time for the meeting. I do all my possible to contribute of the success of the team.",Positive
"Xin Yi is an excellent team member, I have nothing bad to say. She does her best for the team. She does an excellent work on Revit, and shares many good feedback and idea to improve the global work of the team. Good Job!",Positive
"Neil Is a very good team member and I think he is the team member who contributes the most to the success of the team. He does an excellent work on Revit and on the presentation. He creates and shares with us the task to do before every deadline. He always gives interesting feedback to every work and and is very understanding of the feedback he receives. He is very pecky about the work of the team and the organization, maybe sometimes to much, but this is not a bad thing.",Positive
"Our team has been making progress on our keyboard, although we ran into problematic areas with the bluetooth configuration which we are trying to solve in commissioning. Overall, the CAD design and wiring has been moving well and it will be great to complete our project aiming for an early submission deadline.",Neutral
Great work working on the bluetooth module and researching procedures to get the wiring to function.,Positive
Great work spending time on the bluetooth module and working on the Arduino wiring.,Positive
Awesome job figuring out how to code and wire all of the keyboard buttons. Also an incredible CAD model that was very detailed and helpful for our design.,Positive
"You are very driven to get the project done and are willing to do tasks such as 3D printing that are more difficult to fit into Chris and my schedules, which is greatly appreciated. I appreciate your enthusiasm and contributions to the project.",Positive
"I feel that I have made a large contribution to the group following the last evaluation, and am working actively with the group to try and keep up with project deadlines.",Neutral
You are excellent at keeping the group on top of deadlines and responding to teammates ASAP. Keep up the good work.,Positive
I believe I have done high-quality work in this project.,Positive
"Making decent, steady progress. Some concerns are present but there's still enough time to iron them out.",Neutral
"I need you to be a little more proactive with the project. I don't want to feel stressed about if you're completing your part or if something needs to get done. We still have a lot of time and I've completed the majority of the entire building. There's not much more that needs to be added, simply just a lot of details. I know you're busy but so am I.",Negative
"I usually come up with the main ideas. I help my team achieve early benchmarks, and mainly build them and draw autocad.",Positive
"She has fabulous ideas of robots, and guide us on small ideas to change. She overall organizes our meeting.",Positive
"He did fabulous work while staying in Tandon during spring break. He followed my favors, and helped us check that our MRR goes above the cliff. He also does most of the coding works.",Positive
"I feel I am doing well at communication with Abdul and ensuring I complete tasks in a timely manner. To improve, I could begin tasks a bit sooner then the deadline to ensure we have time to look over and discuss them.",Positive
Abdul is doing great at getting tasks done early and communicating when he has finished the tasks. I have no complaints working with him.,Positive
Antonia does a great job when it comes to help other team members with their tasks.,Positive
"I have been investing more time in this project, and helping out the team by coming up with possible solutions or suggestions.",Positive
"Even though we are not doing the Bluetooth module anymore, Hailey did a remarkable job figuring out the code and wiring of a single bluetooth module.",Positive
Sarah did a good job with the CAD model.,Positive
"I participated actively every time the team meet together. I searched for several real-life building examples for achieving inspiration to improve our design. I calculated the appropriate classroom size and dorm room size which is in accordance with the size in real life. It's really important for a building project to save the cost and also serve great function. Based on the calculation, i design the dorm and classroom in Revit which makes important contribution for the team.",Positive
"Sai is a good planner and engineer for designing. All of the fundamental floor plans was designed by him in hand-written version making our design goes well from the first step. Also, he always reminds us of the progress requirement and makes sure that we are making appropriate and timely progress.",Positive
"Emma is a wonderful teammate. I figure out a lot of problems i met with her help during the work which contribute a lot for our progression. I always ask her for advice in Revit design and she always provide useful tips which is very helpful. Without her help, i wouldn't be able to complete the plumbing and electrical design well and efficiently.",Positive
Nael is a valuable member of the team and always willing to establish deadlines and take time to complete his work.,Positive
"I will do my best to make more time for working on the project, especially as the deadline is coming up with midterms.",Neutral
Neil is very helpful in leading the time with creating tasks and setting reminders to help the project get on track.,Positive
I have been able to complete all tasks. We remain on task because of constant communication and have been doing pretty well.,Positive
Doing an awesome job. On task and great at communicating among teammates. Provides good working enviornment and is nice to work with.,Positive
Mike He is a great teamate to work with. He has his own opinions in the meetings but he can also accomondate and understand when he makes a mistake. He would correct others considerately when others make mistakes. He also attend most meetings.,Positive
"Personally, I believe that I did well in the overall SLDP. I improve the nevigation code so that it can self-correct based on angles. I also take trials to make sure the time set for the motors is able to help the robot to climb up the hill and turn with the right angle.I also attend and initiate most the meetings outside lab time.",Positive
He is the head of hardware. He attend most of the meetings as well. He keeps track of the overall progress of the SLDP. The times when he could not attend meetings are pre-announced and the reasons are understandable. He would also come to us to ask about absent meetings.,Positive
Yibo Yan is the head of the technology and locomotion. He sets the timers and tested all the angles for robot movements. He also helped me with the segment of the code that controls the robot to climb up the hill. We sometimes have technical discussions on the robot after meetings as well. He is an efficient and pleasant colleague to work with.,Positive
You contributed a lot to the project.,Positive
You helped to manage the team really well.,Positive
"Mohamed also helped wire the sensors and liquid crystal display, which helped us keep on track.",Positive
"I helped out with the wiring and coding of our project during non-class hours, and eas able to help our team finish the project earlier to the submission date.",Positive
"Ryan was responsible for the coding of our Arduino, and was able to create the counter and sensing functions for our project",Positive
"You're doing a great job! Whether its working on the robot, editing the presentation, or updating the engineering notebook, you're always putting in great work. I also appreciate your help in coding and your contributions to help us get early benchmarks. Thank you for your work, and let's keep up our streak until submission!",Positive
"Thank you for updating us on our tasks and contributing a lot of work yourself to help us to move forward in our project. You do a great job in constructing the robot, updating the engineering notebook, and working on the presentations. You're also good at keeping track of the tasks that we need to do, and your managing helps direct me to whatever tasks we need to do. Thank you for your work, and let's keep it strong for commissioning!",Positive
"A lot of programming work to do, but we're still on track for our project, and theres not much left for our project. I've been able to complete all of our tasks properly to submit for both of our early benchmarks. I've also checked in on my teammates to see how they are doing with their tasks and give encouragement for all the work that we do.",Neutral
Helped with polishing the CAD model and took care of 3D printing. Kept things on track.,Positive
Wired and coded the electric diagram and circuit board. Worked hard to make sure it was functional.,Positive
I polished and made modifications to the CAD model. I also made purchases for the necessary materials we needed for the physical build.,Positive
"Contributed numerous ideas that led to the final product we have now, including the led music visualizer, computer game integration, as well as the simplification of using one strip of led lights wrapped around each other around the device. Could have tried tackling hard problems head on instead of simplifying the idea instead.",Positive
"Tries to go above and beyond on the required work, such as attempting to hard code part of the rhythm game by herself even thought it was not required. Also worked on making the prototype box in her own.",Positive
Great job at making and following through with the group's plans. Worked with me in open lab for multiple hours in order to troubleshoot the buttons.,Positive
Antonia puts a lot of efforts to our team and support other team members.,Positive
Triparna finished soldering circuit and made some progress,Neutral
I tried to participate and engage with my teammates and contribute to be on track,Neutral
Sarah has really good skills on programming and contributes a lot for our team.,Positive
"Completes fair share of work, and is really knowledgable at writing the code that helps the robot traverse the LAZ.",Positive
"Im content with the work I do, and I'm happy about where the group is at for our SLDP.",Positive
"Completes fair share of work, and always provides refreshing, good ideas for the group.",Positive
"Completes fair share of work, and is always willing to take over work that needs to be completed by a due date.",Positive
I mainly design the building and work on the problem solving aspect of the SLDP,Neutral
"Antonia has continued to be great. She has spent hours working in the open lab and is committed to ensuring our project results in something great. Occasionally I think she jumps to a conclusion or decision before consulting the whole team, however, she always makes excellent decisions. She has been very willing to step up for any role in this project and has been really dedicated to a bit of the software, and occasionally the hardware aspects.",Positive
"Triparna has been doing some great work! She has been willing to do some extra, but necessary steps so that our project can reach some of its goals. Occasionally, there is a result of miscommunication about meetings or working in open lab, but for the most part, she has shown up and stepped up for this last benchmark.",Positive
"Hoerim has been stepping into her role as part of the team. She is understanding and staying with the team as we have moved from step to step. She has also been accommodating in our project's design and presentation process. I still believe that it would be great to hear more ideas from her and have her speak up more often, but she still has been doing great things.",Positive
"As a reflection of my performance, I think I have made sure to make myself open and readily available to help with any aspect of this project. I have been doing a lot of the software and hardware parts for our design, which has allowed me to expand my experience in both those areas. I feel like I have often stepped up and acted as a ""leader"" so that the tasks we have in front of us are more organized and so that everyone has a job they understand they need to do. I think in certain circumstances I forget that I can have an opinion, and could work on voicing it better, as it could be beneficial, or just act as another voice for the team.",Neutral
"Has done a great job with the project, brings ideas into meetings, communicates well, and puts in a lot of effort for this project to succeed",Positive
"Has done a great job with the project, attentive in meetings, communicates well, has put in a lot of effort for this project to succeed",Positive
Taking my teammates comments into consideration and split tasks evenly,Neutral
"I believe that I have done and am currently doing a fair share of the work involved in the SLDP. I also plan days to meet up with my teammates to make progress on the project and plan ahead to see which parts we can work on and which days would be best. I am also attentive during meetings and update any documentation as necessary to make sure that our team is on the same page. I have used my experience to contribute to the electronics and coding aspect of the project, and I am also open to suggestions from my teammates whenever they have feedback regarding what I am doing. One thing that I'd like to improve on would be to work more efficiently and get things done quickly but also maintain quality so that we get more done in the time that we have left until the end of the semester.",Positive
"Ivan is very enthusiastic about the project and has used his skills to build the structural parts of the greenhouse. He also makes sure that our group is on task and often asks when people are free to meet to work on the project. He sets high expectations for the project but also has realistic goals in terms of what is or is not feasible. Ivan also comes up with new ideas about how to best approach different aspects of the project and is able to move the team forward in a productive manner. Furthermore, he keeps the team on track to meet the project objectives and hopefully finish the project earlier. Overall, he is a great team player.",Positive
"Zihe always does his part of the project while helping out with other elements whenever he is available. Even with the inconvenience of him traveling to and from CAS, he still makes time to work on the project and is able to stay on task and come up with new ideas for the project. He is a good team player and always communicates with the team.",Positive
Mariam always makes sure that we are doing what is needed to keep us on track for meeting our project objectives and communicates well with everyone. She is also supportive and understanding whenever we encounter obstacles in our progress toward making the project. She is always willing to take part in any part of the project and fills in whenever one of us is not able to finish a certain part of the project. She keeps the team on task and comes up with new suggestions regarding further steps in the project.,Positive
"William was extremely helpful with dealing with the code aspect of the project, often going out of his way to get help in the openlab and making sure the code is functional and will work once it is implemented with the physical structure of the greenhouse. He was also responsible for quality control, making sure all of the sensors and other miscellaneous elements with regards to electronics were working properly and immediately troubleshooting any issues he finds during that process. Keeps tabs on deadlines and items. Head of coding and de facto time keeper.",Positive
